protocol_id,call_packet_id,plan_id,provider,model_id,model_version_or_release,api_endpoint_family,credential_env_var,credential_env_var_present,scenario_id,contamination_tier,execution_level,seed,sample_index,prompt_template_id,prompt_version,temperature,top_p,max_tokens,prompt_packet_sha256,expected_provider_manifest_path,expected_submission_path,execution_status,blocking_reasons,redaction_contract,claim_scope
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_7__sample_0,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_7__sample_0,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,7,0,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:8f534f986151114e6ccdc00798521f90a4c931f7463a8ae441f8aa7341ba8843,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_7__sample_0.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_7__sample_0.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_7__sample_1,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_7__sample_1,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,7,1,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:badb3dcd3bc704f7822df8c0c9ad414bfc2908fe08e58dfa1b2f874d347edafc,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_7__sample_1.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_7__sample_1.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_7__sample_2,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_7__sample_2,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,7,2,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:4796fe8ab00d4fda7019aa757cce05d87328d0e19214eb2ed862b6dd869dd567,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_7__sample_2.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_7__sample_2.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_11__sample_0,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_11__sample_0,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,11,0,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:7747f0d297d40c316f053e5071d604146b0b60963910c9c1182482b0cd966d36,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_11__sample_0.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_11__sample_0.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_11__sample_1,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_11__sample_1,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,11,1,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:337bd822aee439d4590d48abc648fc251fea6345511e4c1b135dc7104743f19a,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_11__sample_1.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_11__sample_1.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_11__sample_2,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_11__sample_2,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,11,2,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:f6db2b865da8392f9d9320f4df91a7db7dd5a9dd0f6127200132ef5db1c92144,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_11__sample_2.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_11__sample_2.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_17__sample_0,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_17__sample_0,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,17,0,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:d22c39c3cb99bff2713e8e6b4bed585d82a27de63862e1aed733d0c3dd7c6cf5,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_17__sample_0.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_17__sample_0.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_17__sample_1,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_17__sample_1,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,17,1,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:d5585c745c4e353acca1daefdce9205514f2f540e7bed27452973f4d90a69926,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_17__sample_1.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_17__sample_1.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_17__sample_2,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_17__sample_2,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,17,2,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:12fdb9005cc4f1e884181e24c276271aa546088dc6259430d772e26f8e4c22c8,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_17__sample_2.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_17__sample_2.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_23__sample_0,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_23__sample_0,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,23,0,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:6c08973bab9d1d5cbc39c58b4c45fcbd2ca1682aa00728717e7b62054137c97c,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_23__sample_0.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_23__sample_0.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_23__sample_1,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_23__sample_1,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,23,1,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:99f98ebb6c16c5d81ed4530006038f18e327538adf8a535afb02d04800979fd2,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_23__sample_1.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_23__sample_1.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_23__sample_2,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_23__sample_2,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,23,2,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:4ab89d8f0523e5d39d4c87b46ced758d62197bcfb78580461ce9e5778e8bee33,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_23__sample_2.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_23__sample_2.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_31__sample_0,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_31__sample_0,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,31,0,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:3dbf9d2765ed5cad164804794dafc4279c9610c99ebdb1332319726183ce3050,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_31__sample_0.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_31__sample_0.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
trellm-v0.3-iclr-protocol,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_31__sample_1,openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_31__sample_1,openai,gpt-5.5,fixture-2026-05-17,responses,OPENAI_API_KEY,false,synthetic_calm_trend_c0_v0_3,C0,E1,31,1,trellm-allocation-v0.3,v0.3.0,0.2,1.0,1200,sha256:0607cb53e17b944309f5100bdde4198429cf9c96bb0c5f33c4c5ebb4cf11fc9b,outputs/v0_3_direct_api_matrix/provider_manifests/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_31__sample_1.json,outputs/v0_3_direct_api_matrix/submissions/openai__gpt_5_5__synthetic_calm_trend_c0_v0_3__c0__e1__seed_31__sample_1.json,not_run,credential_env_var_missing,hash-only-public-manifest;raw-prompt-private;raw-response-private,Executable direct API call packet. It is not evidence until a live or cache-hit direct-provider manifest and benchmark submission are produced.
