protocol_id,artifact_id,claim_area,claim_class,evidence_stage,supports_headline_claim,summary_path,primary_rows,summary_schema,row_count,statistical_methods,claim_boundary,artifact_sha256,primary_rows_sha256,status,missing_paths
trellm-v0.3-iclr-protocol,direct_api_pilot,direct API provenance,engineering,protocol-fixture,false,docs/results/v0_3_direct_api_pilot/direct_api_pilot_summary.json,docs/results/v0_3_direct_api_pilot/direct_api_pilot_rows.csv,trellm_v0_3_direct_api_pilot_v0.1,4,seed/sample manifest coverage,Validates direct API evidence plumbing without live provider calls.,sha256:9ff5a4b335f5690b97e8a16faf033f0e9136f04e9e682f5f0375dd4c019b6e72,sha256:a460d41cbad560387251e663cae4c12f8824d227abd243420685e9894a498044,present,
trellm-v0.3-iclr-protocol,direct_api_matrix_gate,direct API model matrix threshold gate,engineering,threshold-gate,false,docs/results/v0_3_direct_api_matrix_gate/direct_api_matrix_gate_summary.json,docs/results/v0_3_direct_api_matrix_gate/direct_api_matrix_gate_coverage.csv,trellm_v0_3_direct_api_matrix_gate_v0.1,4,direct_manifest_hash_binding;seed_sample_threshold_gate,Verifies direct API matrix provenance and 10x3 coverage; current fixture rows remain pilot evidence.,sha256:75e92251b3ad1ba5e530e55e00d26f6ca61fd146c6bb3ca39341710cec163d78,sha256:5a913153670e39ff8da5efb70f84c2bc322535577c845710d32c6445daf9afa9,present,
trellm-v0.3-iclr-protocol,direct_api_model_matrix_plan,direct API model matrix run plan and credential preflight,engineering,planning-note,false,docs/results/v0_3_direct_api_matrix_plan/direct_api_matrix_plan_summary.json,docs/results/v0_3_direct_api_matrix_plan/direct_api_matrix_plan_coverage.csv,trellm_v0_3_direct_api_matrix_plan_v0.1,,pre_registered_10x3_matrix_plan;credential_env_var_preflight,Pre-registers direct API matrix rows and credential readiness; not provider-performance evidence.,sha256:68ab29a87b52188df15409594661d2ead960870004c95711bc52fae940f975e7,sha256:59aaa1204ab4fd1b45087445a18910f373abdb0c3d9345105e5ef4e7338e4eb1,present,
trellm-v0.3-iclr-protocol,direct_api_submission_checklist,direct API redaction and submission checklist,engineering,planning-note,false,docs/results/v0_3_direct_api_submission_checklist/direct_api_submission_checklist_summary.json,docs/results/v0_3_direct_api_submission_checklist/direct_api_submission_checklist_items.csv,trellm_v0_3_direct_api_submission_checklist_v0.1,,schema_field_coverage_check;redaction_submission_checklist,"Constrains direct API redaction, manifest binding, and claim boundaries; not provider-performance evidence.",sha256:74ac66321e6a14e1540f604759cd277e908c7a0f33fc9c671d7159aa3ff2c116,sha256:6cba35a6ac63ed77e5e45fc9bae8a8817657cb70356b02fc6bb8c33080dc3dc8,present,
trellm-v0.3-iclr-protocol,claim_boundary_audit,public narrative claim-boundary audit,engineering,planning-note,false,docs/results/v0_3_claim_boundary_audit/claim_boundary_audit_summary.json,docs/results/v0_3_claim_boundary_audit/claim_boundary_audit_findings.csv,trellm_v0_3_claim_boundary_audit_v0.1,,claim_boundary_text_audit;evidence_index_gap_check,Checks public narrative surfaces for overclaiming; not model-performance evidence.,sha256:e35acabd0e5b6e9e60c7709711c347ff675705606ef60ea57b7b8d22c3048672,sha256:6885125324495c994339692d7fbec925e1a0e1e8ca7920ed8f10063c505d7f1b,present,
trellm-v0.3-iclr-protocol,execution_ladder,execution assumption sensitivity,benchmark,protocol-fixture,false,docs/results/v0_3_execution_ladder/execution_ladder_summary.json,docs/results/v0_3_execution_ladder/execution_ladder_rows.csv,trellm_v0_3_execution_ladder_v0.1,32,kendall_tau;top_k_jaccard;bootstrap_ci,"Reports deterministic E0-E3 fixture sensitivity, not live-provider model skill.",sha256:8927d2d06f68db0839cc53d0fbd18e6517bdc386dc79b2f7bbb3a6b02fb83508,sha256:9cb6170dcfbcfbc2e3c461a60bc4f169533e1c6ff5400665b67447b4634a77ae,present,
trellm-v0.3-iclr-protocol,finaudit_pilot,financial trace audit,engineering,protocol-fixture,false,docs/results/v0_3_finaudit_pilot/finaudit_pilot_summary.json,docs/results/v0_3_finaudit_pilot/finaudit_pilot_scores.csv,trellm_v0_3_finaudit_pilot_v0.1,8,precision;recall;f1;wilson_interval;difficulty_breakdown,"Validates injected-defect scoring path with fixture auditors, not model audit performance.",sha256:52f5250e155cd22a936c25c0384da685832f5a1dc0d2ea9138a41fa89f243f04,sha256:2ad576eccf02758ba4634f3cc11202db37a4b2da5706fc662eeb3b7ed874f82e,present,
trellm-v0.3-iclr-protocol,memory_contamination,memory contamination mechanism,benchmark,protocol-fixture,false,docs/results/v0_3_memory_contamination/memory_contamination_summary.json,docs/results/v0_3_memory_contamination/memory_contamination_dose_response.csv,trellm_v0_3_memory_contamination_v0.1,16,paired_bootstrap_delta;BH-FDR q_value;bootstrap_ci,"Reports C0 read-time memory pollution fixture effects, not LLM model-level robustness.",sha256:b828e751de2aff1fd0cc25d31008d8b899fd93d807217bd567681ed5175b3e31,sha256:a0a1468affa0634bf1be18d6de706343a5267ce6cfd25ae2b5dce1339eccfda2,present,
trellm-v0.3-iclr-protocol,contamination_control_audit,contamination-tier readiness and claim boundaries,engineering,planning-note,false,docs/results/v0_3_contamination_control_audit/contamination_control_audit_summary.json,docs/results/v0_3_contamination_control_audit/contamination_control_audit.csv,trellm_v0_3_contamination_control_audit_v0.1,,contamination_tier_readiness_audit;forward_freeze_tooling_check,Maps C0/C1/C2 contamination controls to current evidence; C1/C2 remain contract-only.,sha256:bc26f155e11e0f3c5fab1204573d3b2ba01956bcc0c9adc660a8cff4b3dd17a1,sha256:9517f43f1ef67fb0b504a42bf7d8179740f43d03761e4de565f16b8c94b7faaa,present,
trellm-v0.3-iclr-protocol,power_detectable_effect_note,statistical power and detectable effects,benchmark,planning-note,false,docs/results/v0_3_power_note/v0_3_power_note_summary.json,docs/results/v0_3_power_note/v0_3_detectable_effects.csv,trellm_v0_3_power_note_v0.1,24,paired_sign_flip_permutation_power;detectable_effect_grid,Constrains sample-size and detectable-effect claims; not model-superiority evidence.,sha256:c1a2c80058109edb316c97faf07d78fe3f45d2775c51a484a74ccd2f94081ca2,sha256:2e0420fc1df7b4b4b56f49d4f44b86d2a1ee290bd7e369d6e1bfa80174e1297a,present,
trellm-v0.3-iclr-protocol,variance_decomposition,between-seed and within-seed variance decomposition,benchmark,planning-note,false,docs/results/v0_3_variance_decomposition/variance_decomposition_summary.json,docs/results/v0_3_variance_decomposition/variance_decomposition_rows.csv,trellm_v0_3_variance_decomposition_v0.1,,variance_decomposition;between_within_seed_variance_components,Validates variance decomposition reporting on fixture direct API pilot rows; not model-performance evidence.,sha256:911c9f432fff0659b0240c83ff17355f82b2b10cd41d90807fda16e49f77f25a,sha256:bcc587f08f2549b994da11f78529c0a2bd9d67667c8afa8afb9d3d92eb0b8edf,present,
trellm-v0.3-iclr-protocol,external_reproduction_gate,external reproduction intake and environment coverage,engineering,threshold-gate,false,docs/results/v0_3_external_reproduction_reports/external_reproduction_gate_summary.json,docs/results/v0_3_external_reproduction_reports/external_reproduction_environment_coverage.csv,trellm_v0_3_external_reproduction_gate_v0.1,,environment_coverage_gate;independent_report_count_gate,Validates external report eligibility; current accepted report count remains below the v0.3 threshold.,sha256:81626a904fc9b03640d02668393f8b1b222a2092d768ace6651c9db69a22ad4a,sha256:6bdfd07f0f2b5ea13a0335e84ac5e80ba827b4468f6d4e0565cca4670d9d854a,present,
